player_name,player_link_ep,nation,position,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
Frank Banham,https://www.eliteprospects.com/player/8491/frank-banham,Canada / Hungary,RW,183,90,R,"['Heavy Shooter', 'Offensive Forward', 'Sniper']",,"('6', '147', '1993')","['1-time CHL Third All-Star Team', '1-time ICEHL Champion', '1-time ICEHL Most Goals', '1-time Liiga Champion', '1-time SL Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Most Goals']","Cousins: Jesse Dudas, Mark Kachowski"
Brooks Orpik,https://www.eliteprospects.com/player/8939/brooks-orpik,USA,D,189,100,L,"['Defensive Defenseman', 'Heavy Hitter', 'PK Specialist']",,"('1', '18', '2000')","['1-time Olympic Silver Medal', '1-time NCAA (Championship) Winner', '2-time NCAA (Hockey East) Champion', '2-time NHL Stanley Cup Champion']","Brooks Orpik was a defenseman known for his shutdown ability. A big guy, he played a very physical game and was a quality option on the penalty kill. Put his body on the line every game and blocked a ton of shots.
- Erik K."
Doug Janik,https://www.eliteprospects.com/player/9027/doug-janik,USA,D,188,96,L,,,"('2', '55', '1999')","['1-time NCAA (Championship) Winner', '1-time NCAA (Hockey East) Champion']","Janik is a defensive-minded defenseman who takes care of his own end first. Plays a simple game and has a good frame, but isn't a very physical player. Doesn't contribute much on offense."
Jaroslav Kristek,https://www.eliteprospects.com/player/9631/jaroslav-kristek,Czechia,C/RW,185,89,L,,,"('2', '50', '1998')","['1-time U20 WJC Gold Medal', '2-time Belarus Champion', '1-time Continental Cup Champion', '1-time Czech Extraliga Champion', '1-time Slovakian Extraliga Champion']",
Derek Bekar,https://www.eliteprospects.com/player/12781/derek-bekar,Canada,C/LW,188,82,L,,,"('8', '205', '1995')","['1-time SL Champion', '1-time Slovenian Champion']",
Paul Manning,https://www.eliteprospects.com/player/13516/paul-manning,Canada,D,193,93,L,,,"('3', '62', '1998')",[],
Shaone Morrisonn,https://www.eliteprospects.com/player/8961/shaone-morrisonn,Canada / Croatia,D,194,96,L,,,"('1', '19', '2001')",['1-time Spengler Cup Winner'],"Morrisonn is a big, yet very mobile stay-at-home defenceman. Lacks natural offensive flair, but can still score a few points. While lacking in flair, he is reliable in his own end and is a consistent all-around performer. Doesn't shy away from physical play."
Kari Haakana,https://www.eliteprospects.com/player/868/kari-haakana,Finland,D,187,103,L,"['Enforcer', 'Heavy Hitter', 'Physical Defenseman']",,"('8', '248', '2001')",['2-time Liiga Champion'],"Sons: Santeri Haakana, Kasperi Haakana

A very strong defenseman. Haakana is known for his defensive skills. He plays especially well along the boards and in front of the net. Truly a perfect player to use on the PK."
Radoslav Hecl,https://www.eliteprospects.com/player/58482/radoslav-hecl,Slovakia,D,187,89,L,,,"('7', '208', '2002')","['1-time U18 EJC Gold Medal', '1-time World Championship Gold Medal', '1-time Slovakian Extraliga All-Star Team', '5-time Slovakian Extraliga Champion']",
Jesse Fibiger,https://www.eliteprospects.com/player/13959/jesse-fibiger,Canada,D,188,99,L,,,"('7', '178', '1998')",[],
Eric Godard,https://www.eliteprospects.com/player/9163/eric-godard,Canada,RW,193,102,R,"['Agitator', 'Enforcer']",,,['1-time NHL Stanley Cup Champion'],
Ron Hainsey,https://www.eliteprospects.com/player/9037/ron-hainsey,USA,D,190,93,L,,,"('1', '13', '2000')","['1-time AHL All-Rookie Team', '1-time NCAA (East) Second All-American Team', '1-time NHL Stanley Cup Champion']",
Alex Henry,https://www.eliteprospects.com/player/8746/alex-henry,Canada,D,197,105,L,,,"('3', '67', '1998')",[],"Henry is a big defenseman with a good physical game. Is a sound leader and won't back down from a fight. Doesn't skate that well, though."
Michael Ryder,https://www.eliteprospects.com/player/4487/michael-ryder,Canada,RW,184,91,R,,,"('8', '216', '1998')","['1-time U20 WJC Bronze Medal', '1-time NHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time QMJHL All-Rookie Team']",Brother: Dan Ryder
Marek Zidlicky,https://www.eliteprospects.com/player/3633/marek-zidlicky,Czechia,D,179,86,R,"['Mobile Defenseman', 'Offensive Defenseman', 'Puckhandler']",,"('6', '176', '2001')","['1-time World Championship Gold Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '2-time World Championship All-Star Team']",Son: Adam Zidlicky
Tuomo Ruutu,https://www.eliteprospects.com/player/2695/tuomo-ruutu,Finland,W/C,184,91,L,"['Energy Forward', 'Power Forward', 'Two-Way Forward']",,"('1', '9', '2001')","['1-time U18 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '1-time World Championship Silver Medal', '2-time U20 WJC Bronze Medal', '2-time World Championship Bronze Medal', '2-time Olympic Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time Liiga Champion']","Brothers: Mikko Ruutu, Jarkko Ruutu"
Ryan Malone,https://www.eliteprospects.com/player/8721/ryan-malone,USA,LW,193,102,L,['Power Forward'],,"('4', '115', '1999')","['1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time NHL All-Rookie Team']","Father: Greg Malone
Brother: Mark Malone
Uncle: Jim Malone
Cousins: Cole Huckins, Brad Malone, Brett Malone, Justin Moir"
Patrice Bergeron,https://www.eliteprospects.com/player/9079/patrice-bergeron,Canada,C,185,89,R,"['Defensive Center', 'Face-Off Specialist', 'Two-Way Center']",,"('2', '45', '2003')","['1-time World Championship Gold Medal', '1-time U20 WJC Gold Medal', '2-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time World Cup Gold Medal', '1-time NHL Foundation Player Award', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time NHL Mark Messier Leadership Award', '1-time NHL Stanley Cup Champion', '6-time NHL Top Defensive Forward (Frank J. Selke Trophy)', '1-time Spengler Cup Winner', '1-time U20 WJC All-Star Team', '1-time U20 WJC Most Points', '1-time U20 WJC Most Valuable Player']","A brilliant two-way center. Bergeron has excellent hockey sense and can read the play really well. A skilled playmaker, he can also shoot the puck well. A very good skater. - Erik K."
Nikolai Zherdev,https://www.eliteprospects.com/player/8620/nikolai-zherdev,Russia / Ukraine,LW/RW,186,88,R,,,"('1', '4', '2003')","['1-time U20 WJC Gold Medal', '2-time World Championship Gold Medal', '1-time U18 WJC Silver Medal', '1-time U18 WJC All-Star Team', '1-time U18 WJC Best Forward']",
Joffrey Lupul,https://www.eliteprospects.com/player/9001/joffrey-lupul,Canada,RW,185,96,R,,,"('1', '7', '2002')","['1-time U20 WJC Silver Medal', '1-time AEHL U18 Most Points', '1-time CHL First All-Star Team', '1-time WHL (East) First All-Star Team', '1-time WHL Most Goals']",
John-Michael Liles,https://www.eliteprospects.com/player/8734/john-michael-liles,USA,D,178,84,L,['Offensive Defenseman'],,"('5', '159', '2000')","['2-time NCAA (CCHA) Champion', '1-time NCAA (West) First All-American Team', '1-time NCAA (West) Second All-American Team', '1-time NHL All-Rookie Team']",
Eric Staal,https://www.eliteprospects.com/player/3656/eric-staal,Canada,C,193,88,L,['Power Forward'],,"('1', '2', '2003')","['1-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time World Championship Silver Medal', '1-time CHL First All-Star Team', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time OHL First All-Rookie Team', '1-time OHL Second All-Star Team']","Brothers: Marc Staal, Jordan Staal, Jared Staal
Cousin: Jeff Heerema

In his 2nd NHL season, Staal helped lead the Hurricanes to their first Stanley Cup with a career-high of 45 goals and 55 assists. The 6'4 center won a World Championship with Canada in 2007 and became a Triple Gold Club member in 2010 when he won Olympic gold. Eric also tied Minnesota's record for goals in a season, scoring 42 in 2018."
Matthew Lombardi,https://www.eliteprospects.com/player/8999/matthew-lombardi,Canada,C,180,88,L,,,"('3', '90', '2002')","['1-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time NL Media All-Star Team', '1-time NL Most Assists', '1-time NL Most Points', '1-time QMJHL Champion', '3-time Spengler Cup Winner']",
Joni Pitkänen,https://www.eliteprospects.com/player/2697/joni-pitkanen,Finland,D,190,95,L,"['Offensive Defenseman', 'Puck-Moving Defenseman']",,"('1', '4', '2002')","['2-time U20 WJC Bronze Medal', '1-time Olympic Bronze Medal', '1-time AHL Calder Cup Champion', '1-time NHL All-Rookie Team', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Defenseman']",A big and strong defenseman who skates well. A tough player who likes to play physically. Always works hard for his team and is useful on both powerplay and penalty kill. Has suffered a lot injuries throughout his career.
Dan Hamhuis,https://www.eliteprospects.com/player/9040/dan-hamhuis,Canada,D,185,93,L,,,"('1', '12', '2001')","['2-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time U20 WJC Silver Medal', '2-time World Championship Silver Medal', '1-time U20 WJC Bronze Medal', '1-time AHL Second All-Star Team', '1-time CHL Defenseman of the Year', '1-time CHL First All-Star Team', '2-time WHL (West) First All-Star Team', '1-time WHL Player of the Year (Four Broncos Trophy)', '1-time WHL Top Defenseman (Bill Hunter Trophy)']","A defenceman with excellent hockey sense. Skilled with the puck, can play big minutes. Not very aggressive, but is a terrific hip-checker."
Paul Martin,https://www.eliteprospects.com/player/8778/paul-martin,USA,D,185,91,L,,,"('2', '62', '2000')","['2-time NCAA (Championship) Winner', '1-time NCAA (West) Second All-American Team']",
Nathan Horton,https://www.eliteprospects.com/player/3657/nathan-horton,Canada,RW,188,104,R,,,"('1', '3', '2003')","['1-time CHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time OHL First All-Rookie Team']","Great-Uncle-in-law: Jacques Plante
Son: Braden Horton"
Alexander Syomin,https://www.eliteprospects.com/player/8633/alexander-syomin,Russia,LW,189,98,R,,,"('1', '13', '2002')","['2-time World Championship Gold Medal', '1-time U18 WJC Silver Medal', '1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time KHL Gagarin Cup Champion']",Father: Valeri Syomin
Derek Roy,https://www.eliteprospects.com/player/8810/derek-roy,Canada,C,175,85,L,,,"('2', '32', '2001')","['1-time U20 WJC Silver Medal', '2-time World Championship Silver Medal', '1-time Olympic Bronze Medal', '1-time CHL All-Rookie Team', '1-time CHL Memorial Cup Champion', '1-time NL Champion', '1-time OHL Champion', '1-time OHL First All-Rookie Team', '1-time OHL Playoffs MVP (Wayne Gretzky 99 Award)', '1-time OHL Rookie of the Year (Emms Family Award)', '1-time Spengler Cup Winner']",Brother: Scott Roy
Tom Preissing,https://www.eliteprospects.com/player/8662/tom-preissing,USA,D,183,93,R,,,,"['1-time NCAA (West) First All-American Team', '1-time USHL Defenseman of the Year', '1-time USHL First All-Star Team']",
Martin Strbak,https://www.eliteprospects.com/player/9177/martin-strbak,Slovakia,D,191,96,L,,,"('9', '224', '1993')","['1-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time Czech Extraliga Champion', '1-time RSL Champion', '2-time Slovakian Extraliga All-Star Team', '2-time Slovakian Extraliga Champion']","Štrbák is a big defenseman with good all-around ability. Skilled defensively, he could stand to play a more physical game. Should shoot the puck more, since he has a hard shot."
Antoine Vermette,https://www.eliteprospects.com/player/8840/antoine-vermette,Canada,C,185,89,L,"['Face-Off Specialist', 'Speedster']",,"('2', '55', '2000')","['1-time AHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time QMJHL Champion']",Cousin: Frédéric Vermette
Fredrik Sjöström,https://www.eliteprospects.com/player/473/fredrik-sjostrom,Sweden,LW,185,99,L,,,"('1', '11', '2001')","['1-time World Championship Silver Medal', '1-time TV-Pucken Best Forward (Sven Tumbas Stipendium)']","A two-way winger, Sjostrom was recognized as a fantastic skater with great speed. He played with plenty of intensity and some grit. Was thought of as a potential scoring winger as a junior, but instead became a hard working role player with fine penalty killing skills."
Christian Ehrhoff,https://www.eliteprospects.com/player/8581/christian-ehrhoff,Germany,D,188,91,L,,,"('4', '106', '2001')","['1-time Olympic Silver Medal', '1-time DEL Champion', '1-time World Championship All-Star Team']",
Esa Pirnes,https://www.eliteprospects.com/player/2713/esa-pirnes,Finland,C,184,84,L,"['Playmaker', 'Two-Way Forward']",,"('6', '174', '2003')","['2-time World Championship Bronze Medal', '1-time Liiga All-Star Team', '3-time Liiga Champion']","Pirnes was a center who played a very well-rounded game. He had terrific playmaking ability and vision, which made him excel on the powerplay. He also skated well with good speed, and worked hard all over the ice."
Christoph Brandner,https://www.eliteprospects.com/player/4198/christoph-brandner,Austria,LW,195,97,L,,,"('8', '237', '2002')","['2-time Austrian Champion', '1-time DEL Champion', '1-time DEL Most Goals', '1-time DEL Player of the Year', '1-time ICEHL Champion']",
Andrew Hutchinson,https://www.eliteprospects.com/player/9061/andrew-hutchinson,USA,D,188,93,R,,,"('2', '54', '1999')","['1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '2-time NCAA (CCHA) Champion', '1-time NCAA (West) Second All-American Team', '1-time NHL Stanley Cup Champion']","An offensive defenseman, Hutchinson is very good with the puck on his stick. Can be an excellent powerplay quarterback with his passing skills and booming slapshot. Has nice size.
On the downside, he can be a liabilty in his own end, struggling with consistency.
- Erik K."
Jordin Tootoo,https://www.eliteprospects.com/player/9515/jordin-tootoo,Canada,RW,175,88,R,['Agitator'],,"('4', '98', '2001')","['1-time U20 WJC Silver Medal', '1-time Alberta Cup Champion', '1-time CHL Third All-Star Team', '1-time WHL (East) First All-Star Team']","Brother: Terence Tootoo
Cousin: Trent Tootoo"
Aaron Johnson,https://www.eliteprospects.com/player/10233/aaron-johnson,Canada,D,185,93,L,,,"('3', '85', '2001')","['1-time CHL Memorial Cup Champion', '1-time QMJHL Champion', '1-time Spengler Cup Winner']","A puck-moving defenseman, Johnson is a very good skater. Has good offensive instincts and can quarterback the powerplay. Can play a tough and physical game. Needs to improve his play in his own end.
- Erik K."
Mikhail Yakubov,https://www.eliteprospects.com/player/8648/mikhail-yakubov,Russia,C,191,96,L,,,"('1', '10', '2000')","['1-time U18 WJC Silver Medal', '1-time CHL All-Rookie Team']",
Travis Brigley,https://www.eliteprospects.com/player/13508/travis-brigley,Canada,LW,185,86,L,,,"('2', '39', '1996')","['1-time Allan Cup Champion', '1-time Norwegian Champion', '1-time WHL Champion']",
Fyodor Tyutin,https://www.eliteprospects.com/player/8691/fyodor-tyutin,Russia,D,188,100,L,,,"('2', '40', '2001')","['1-time U18 WJC Gold Medal', '2-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time CHL All-Rookie Team', '1-time OHL First All-Rookie Team', '1-time OHL Third All-Star Team']",An all-around defenseman. Understands the game well. Useful on both powerplay and penalty kill. Could play more physically. A good passer and stickhandler.
Tim Gleason,https://www.eliteprospects.com/player/9162/tim-gleason,USA,D,183,98,L,,,"('1', '23', '2001')","['1-time Olympic Silver Medal', '1-time OHL Second All-Rookie Team', '1-time OHL Third All-Star Team']","Son : Grady Gleason
Cousins : Ben Gleason | Jacob Gleason"
Travis Moen,https://www.eliteprospects.com/player/8535/travis-moen,Canada,LW/RW,188,98,L,,,"('5', '155', '2000')",['1-time NHL Stanley Cup Champion'],"Son: Carter Moen
Cousin: Kolton Moen
Father-in-law: Lorne Frey"
Jed Ortmeyer,https://www.eliteprospects.com/player/8942/jed-ortmeyer,USA,RW,185,86,R,,,,"['2-time NCAA (CCHA) Champion', '1-time USHL Clark Cup Champion']","A hard-working winger who is very strong along the boards. Is good defensively and a natural leader. Is an excellent option with a man down.
Lacks offensive acumen. Isn't very big or physical.
- Erik K."
Trevor Daley,https://www.eliteprospects.com/player/9128/trevor-daley,Canada,D,180,88,L,['Speedster'],,"('2', '43', '2002')","['2-time NHL Stanley Cup Champion', '1-time OHL First All-Rookie Team', '1-time OHL Third All-Star Team']",Nephew: Liam Harry
Brent Burns,https://www.eliteprospects.com/player/9103/brent-burns,Canada,D,195,104,R,,Colorado Avalanche / Signed,"('1', '20', '2003')","['1-time World Championship Gold Medal', '1-time World Cup Gold Medal', '1-time U20 WJC Silver Medal', '1-time World Championship Silver Medal', '1-time NHL Best Defenseman (Norris Trophy)', '2-time NHL First All-Star Team', '1-time NHL Foundation Player Award', '1-time NHL Second All-Star Team', '1-time OHL First All-Rookie Team', '1-time World Championship All-Star Team', '2-time World Championship Best Defenseman']","Son : Jagger Burns
Burns is very quick and has incredible hands for a 6'5, 230lb frame. He has played forward several times but has emerged as a full-time defenseman. He won World Championship gold in 2015 and later won World Cup gold and a Norris Trophy in 2017. Burns set career highs with 29 goals in 2017 and 83 points in 2019."
Boyd Gordon,https://www.eliteprospects.com/player/9513/boyd-gordon,Canada,C,183,91,R,['Face-Off Specialist'],,"('1', '17', '2002')","['1-time U20 WJC Silver Medal', '1-time AHL Calder Cup Champion', '1-time CHL Memorial Cup Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Champion']","Brother: Rhett Gordon
Nephew: Cole Gordon"
Chris Kunitz,https://www.eliteprospects.com/player/8523/chris-kunitz,Canada,LW,183,88,L,,,,"['1-time Olympic Gold Medal', '1-time World Championship Silver Medal', '1-time NCAA (West) First All-American Team', '1-time NHL First All-Star Team', '4-time NHL Stanley Cup Champion']","Chris Kunitz was a winger known for his great work ethic. Below average in size and stature, he would nonetheless play a very physical game and bang bodies whenever he could. He also had a pair of decent hands and made for a terrific complimentary player on a scoring line.
- Erik K."
Matt Keith,https://www.eliteprospects.com/player/10197/matt-keith,Canada / Scotland,C/W,188,95,R,,,"('2', '59', '2001')",[],
Ryan Kesler,https://www.eliteprospects.com/player/9014/ryan-kesler,USA,C,188,93,R,['Agitator'],,"('1', '23', '2003')","['1-time U18 WJC Gold Medal', '1-time U20 WJC Gold Medal', '1-time Olympic Silver Medal', '1-time NHL Top Defensive Forward (Frank J. Selke Trophy)']",A talented two-way center. A strong player who is useful on both powerplay and penalty kill. Works hard both offensively and defensively. Strong in front of the net.
Cody McCormick,https://www.eliteprospects.com/player/8975/cody-mccormick,Canada,C/W,188,103,R,,,"('5', '144', '2001')",['1-time OHL First All-Star Team'],
Jozef Balej,https://www.eliteprospects.com/player/9641/jozef-balej,Slovakia,RW,183,88,R,['Speedster'],,"('3', '78', '2000')","['1-time CHL Second All-Star Team', '1-time Czech Extraliga Champion', '1-time Slovakian Extraliga Champion', '1-time WHL (West) First All-Star Team']",
Niklas Kronwall,https://www.eliteprospects.com/player/69/niklas-kronwall,Sweden,D,182,88,L,"['Heavy Hitter', 'Two-Way Defenseman']",,"('1', '29', '2000')","['1-time U18 EJC Gold Medal', '1-time Olympic Gold Medal', '1-time World Championship Gold Medal', '1-time Triple Gold Club', '1-time U18 WJC Silver Medal', '1-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL First All-Star Team', '1-time NHL Stanley Cup Champion', '2-time SHL Champion', '1-time Swedish Junior Hockey Player of the Year (Årets Junior)', '1-time U18 WJC All-Star Team', '2-time World Championship All-Star Team', '1-time World Championship Best Defenseman', '1-time World Championship Most Valuable Player']","Niklas Kronwall was a defenseman known for his offensive game and ability to absolutely wreck unsuspecting opponents with huge open-ice hits. An excellent skater with great agility and balance, he was a quality passer of the puck, too.
- Erik K. Piri, Elite Prospects



Brothers: Staffan Kronwall, Mattias Kronwall, Nephew: Wilmer Kronwall

Official website: www.niklaskronwall."
Dustin Brown,https://www.eliteprospects.com/player/9099/dustin-brown,USA,RW/LW,184,95,R,['Heavy Hitter'],,"('1', '13', '2003')","['1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time NHL Foundation Player Award', '1-time NHL Mark Messier Leadership Award', '2-time NHL Stanley Cup Champion', '1-time OHL First All-Rookie Team', '1-time OHL Third All-Star Team']","A hard-hitting power forward who plays a strong two-way game. Brown was selected 13th overall in 2003 after scoring 76 points with the Guelph Storm. In 2008, he led the NHL with 311 hits and set a career-high with 33 goals. Brown captained the Kings from 2008-2016 and won Stanley Cups in 2012 and 2014. He also won an NHL Foundation Player Award in 2011 and a Mark Messier Leadership Award in 2014."
Thomas Pöck,https://www.eliteprospects.com/player/9718/thomas-pock,Austria,D,186,92,L,,,,"['1-time AHL Second All-Star Team', '1-time Austrian Champion', '1-time NCAA (East) First All-American Team']","Father: Herbert Pöck
Brother: Markus Pöck
Cousins: Franz Wilfan, Max Wilfan"
Pavel Vorobyov,https://www.eliteprospects.com/player/9561/pavel-vorobyov,Russia / Kazakhstan,C,183,88,L,,,"('1', '11', '2000')","['1-time U18 WJC Silver Medal', '2-time RSL Champion']",
Mike Green,https://www.eliteprospects.com/player/12770/mike-green,Canada,C,180,86,R,,,,[],Son: Liam Green
Jason Morgan,https://www.eliteprospects.com/player/10398/jason-morgan,Canada,C/LW,185,95,L,"['Grinder', 'Two-Way Center', 'Workhorse']",,"('5', '118', '1995')",['1-time AHL Calder Cup Champion'],"Morgan was known as a two-way center and a hard worker, with plenty of grit and strenght in puck battles. Also had decent offensive ability, while being very good defensively."
David Hale,https://www.eliteprospects.com/player/9038/david-hale,USA,D,188,105,L,,,"('1', '22', '2000')",[],"Hale was a defensive defenseman who liked to play a physical style. Would stay calm under pressure, but didn't have much puck skills."
Matt Hussey,https://www.eliteprospects.com/player/11000/matt-hussey,USA,C,186,89,L,,,"('9', '254', '1998')",[],Hussey is a smart center with good speed and playmaking ability. Doesn't thrive in traffic and can lose focus if he's hit a lot.
Jiri Hudler,https://www.eliteprospects.com/player/6665/jiri-hudler,Czechia,W/C,177,86,L,,,"('2', '58', '2002')","['1-time U18 WJC Bronze Medal', '1-time AHL Second All-Star Team', '1-time Czech Extraliga Champion', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '1-time NHL Stanley Cup Champion', '1-time U18 WJC All-Star Team']","An offensively skilled forward who can play as a winger or a center. Has a good passing game and good hockey sense. A good playmaker with with excellent stickhandling. Very skilled on powerplay. Needs to improve defensively and physically. (Matias Strozyk)

Father: Jiří Hudler, Sr."
Rob Scuderi,https://www.eliteprospects.com/player/8878/rob-scuderi,USA,D,185,96,L,,,"('5', '134', '1998')","['1-time NCAA (Championship) Winner', '3-time NCAA (Hockey East) Champion', '2-time NHL Stanley Cup Champion']","Son: Ryan Scuderi
Brother: Ken Scuderi"
Tim Jackman,https://www.eliteprospects.com/player/10322/tim-jackman,USA,RW,188,102,R,,,"('2', '38', '2001')",[],
Al Rourke,https://www.eliteprospects.com/player/8925/al-rourke,Canada,D,186,97,L,,,"('6', '154', '1998')",['1-time OHL Second All-Star Team'],
Tommi Santala,https://www.eliteprospects.com/player/2711/tommi-santala,Finland,C,191,97,R,['Power Forward'],,"('9', '245', '1999')","['1-time World Championship Bronze Medal', '1-time Liiga Most Assists']",Son: Luca Santala
Garrett Burnett,https://www.eliteprospects.com/player/52950/garrett-burnett,Canada,LW,190,112,L,['Enforcer'],,,[],"Burnett, 46, died on April 11, 2022."
Dominic Moore,https://www.eliteprospects.com/player/8964/dominic-moore,Canada,C,183,87,L,,,"('3', '95', '2000')","['2-time NCAA (ECAC) Champion', '1-time NCAA (East) First All-American Team', '1-time NHL Sportsmanship Award (Bill Masterton Trophy)']","Brothers: Steve Moore, Mark Moore"
Marek Svatos,https://www.eliteprospects.com/player/8604/marek-svatos,Slovakia,RW,178,82,R,,,"('7', '227', '2001')","['1-time CHL Memorial Cup Champion', '1-time Slovakian Extraliga Champion', '1-time U20 WJC All-Star Team', '1-time WHL (West) Second All-Star Team', '1-time WHL Champion']","Svatoš died on 5 November, 2016 at his home in Lone Tree, Colorado at the age of 34. He was survived by his wife, Diana, and two children. It was revealed on 5 December 2016 that Svatoš death was due to mixed drug intoxication."
Carl Corazzini,https://www.eliteprospects.com/player/10349/carl-corazzini,USA,C,175,80,R,,,,['1-time NCAA (East) Second All-American Team'],"Corazzini was a hard working center and a qualitity teammate. He also had good speed and hockey sense, but lacked natural offensive instincts.
- Erik K."
Michael Holmqvist,https://www.eliteprospects.com/player/754/michael-holmqvist,Sweden,C,191,91,L,['Two-Way Forward'],,"('1', '18', '1997')","['1-time U18 EJC Silver Medal', '2-time Liiga Champion', '1-time SHL Champion']","Brother: Andreas Holmqvist
Son: Elias Holmqvist"
Wade Brookbank,https://www.eliteprospects.com/player/8578/wade-brookbank,Canada,D/LW,193,102,L,"['Defensive Defenseman', 'Enforcer']",,,[],"Father: Murray Brookbank
Brother: Sheldon Brookbank
Cousins: Guy Sanderson & Geoff Sanderson"
Andrew Peters,https://www.eliteprospects.com/player/4341/andrew-peters,Canada,LW,193,112,L,['Enforcer'],,"('2', '34', '1998')",[],Brother: Geoff Peters
Tony Mårtensson,https://www.eliteprospects.com/player/59/tony-martensson,Sweden,C,184,84,L,"['Cerebral Tactician', 'Offensive Center', 'PP Specialist']",,"('7', '224', '2001')","['1-time U18 EJC Gold Medal', '1-time World Championship Gold Medal', '2-time World Championship Bronze Medal', '2-time KHL Gagarin Cup Champion', '1-time SHL Most Assists', '1-time SHL Most Points', '1-time SHL Most Valuable Player (Guldhjälmen)', '1-time Spengler Cup Winner']",Mårtensson is a center with great passing ability and vision. Excels on the powerplay as the playmaker. Skates well and has good hands.
Erik Westrum,https://www.eliteprospects.com/player/11040/erik-westrum,USA,C,180,92,L,,,"('7', '187', '1998')","['1-time World Championship Bronze Medal', '1-time AHL First All-Star Team', '1-time NL Most Goals', '1-time NL Most Points', '1-time USHS-MN State Champion']",Father: Pat Westrum
Mathias Tjärnqvist,https://www.eliteprospects.com/player/89/mathias-tjarnqvist,Sweden,LW/RW,185,91,L,,,"('3', '96', '1999')","['1-time TV-Pucken Silver Medal', '1-time U18 EJC Silver Medal', '2-time World Championship Silver Medal', '2-time SHL Champion']",Brother: Daniel Tjärnqvist
Sean Bergenheim,https://www.eliteprospects.com/player/2708/sean-bergenheim,Finland,LW,181,91,L,"['Speedster', 'Two-Way Forward']",,"('1', '22', '2002')","['1-time World Championship Silver Medal', '1-time U18 WJC Bronze Medal', '3-time U20 WJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time Champions Hockey League Champion', '1-time Liiga Champion']","Bergenheim was a feisty winger who stood out with his speed and intensity. Often created offense by driving the net with reckless abandon. He liked to hit and worked hard both ways.
- Erik K."
Matt Murley,https://www.eliteprospects.com/player/8957/matt-murley,USA,LW/C,185,94,L,,,"('2', '51', '1999')",['1-time NCAA (East) Second All-American Team'],"A good-sized winger who can play center, too. Has nice hands and playmaking ability. Useful on the penalty kill as well as the powerplay.
- Ulf Andersson, EP

Update: Played center for the entire 13/14 season, was particularly useful on the power play."
Zbynek Michalek,https://www.eliteprospects.com/player/8588/zbynek-michalek,Czechia,D,189,95,R,,,,"['1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time AHL Calder Cup Champion']","Michálek is a big defenseman who is excellent defensively. Blocks a lot of shots and can play a shutdown role for his team. A decent powerplay guy, too, thanks to a hard shot. Could play a more physical game.
- Erik K."
Darryl Bootland,https://www.eliteprospects.com/player/10999/darryl-bootland,Canada,RW,185,89,R,,,"('8', '252', '2000')","['2-time CHL (USA) Champion', '1-time ECHL Kelly Cup Champion', '1-time OHL Second All-Rookie Team']",
Kevin Miller,https://www.eliteprospects.com/player/27810/kevin-miller,USA,RW,180,84,R,,,"('10', '203', '1984')","['1-time NL Champion', '1-time NL Most Goals', '2-time Spengler Cup Winner']","Daughter: Neysa Miller
Father: Lyle Miller
Brothers: Kip Miller & Kelly Miller
Cousins: Drew Miller, Ryan Miller & Dean Miller
Uncle: Elwood Miller
Nephew: Skylar Miller"
