player_name,nation,position,height_cm,weight_cm,shoots,player_type,nhl_right,draft,highlights,"description
"
Jiri Fischer,Czechia,D,196,104,L,,,"('1', '25', '1998')","['1-time World Championship Gold Medal', '1-time CHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time QMJHL Defenseman of the Year (Emile Bouchard Trophy)', '1-time QMJHL First All-Star Team']","Sons: Lukas Fischer, Braidan Simmons-Fischer"
Brent Gilchrist,Canada,LW,180,82,L,,,"('4', '79', '1985')",['1-time NHL Stanley Cup Champion'],Son: Mathieu Gilchrist
Cory Sarich,Canada / Croatia,D,193,94,R,['Heavy Hitter'],,"('2', '27', '1996')","['1-time U20 WJC Gold Medal', '1-time AHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time WHL (West) Second All-Star Team']","Brother: Rod Sarich
Brother-in-law: Nick Schultz"
Tommy Westlund,Sweden,RW,185,94,R,,,"('4', '93', '1998')",['1-time World Championship Gold Medal'],"Retired due to an wrist injury. Announced on the 2nd of September, 2004."
Jean-Yves Leroux,Canada,LW,189,95,L,,,"('2', '40', '1994')","['1-time Allan Cup Champion', '1-time LNAH Champion', '1-time QMJHL All-Rookie Team']",
Steve Rucchin,Canada,C,185,95,L,,,,[],Brother: Larry Rucchin
Dmitri Mironov,Russia,D,190,97,R,,,"('8', '160', '1991')","['1-time Olympic Gold Medal', '1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time NHL Stanley Cup Champion', '1-time Olympic All-Star Team']","Son: Egor Mironov
Brother: Boris Mironov"
Cory Cross,Canada,D,198,101,L,,,,['2-time World Championship Gold Medal'],Son: Cale Cross
Richard Lintner,Slovakia,D,191,97,R,['Offensive Defenseman'],,"('5', '119', '1996')","['1-time World Championship Gold Medal', '1-time World Championship Bronze Medal', '1-time Spengler Cup Winner', '1-time World Championship All-Star Team']",
Jeff Toms,Canada,C,195,96,L,,,"('9', '210', '1992')","['1-time CHL Memorial Cup Champion', '1-time OHL Champion', '1-time Spengler Cup Winner']",Son: Connor Toms
André Roy,Canada / USA,LW,193,104,L,"['Enforcer', 'Physical Forward']",,"('6', '151', '1994')","['1-time NHL Stanley Cup Champion', '1-time QMJHL Champion']",Nephew : Matis Roy
Toby Petersen,USA,C,178,90,L,,,"('9', '244', '1998')","['1-time U20 WJC Silver Medal', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time USHS-MN State Champion']",Brother: Ian Petersen
Todd Reirden,USA,D,196,98,L,"['Heavy Shooter', 'Two-Way Defenseman', 'Workhorse']",,"('12', '242', '1990')",[],
Mike Stapleton,Canada,C,176,83,R,,,"('7', '132', '1984')",['1-time U20 WJC Silver Medal'],"Father: Pat Stapleton
Brother: Tom Stapleton
Sons: Luke Stapleton, Nick Stapleton"
Denis Gauthier,Canada,D,188,102,L,['Heavy Hitter'],,"('1', '20', '1995')","['1-time U20 WJC Gold Medal', '1-time CHL First All-Star Team', '1-time QMJHL Defenseman of the Year (Emile Bouchard Trophy)', '1-time QMJHL First All-Star Team']","Gauthier was a bulky defenseman who loved to play a physical game. A great open-ice hitter, he would sometimes lose his positioning to lower the boom on an opponent. He was also a great team guy. However, he neved contributed much on offense in the NHL.
- Erik K."
Luke Richardson,Canada,D,191,98,L,"['Defensive Defenseman', 'Physical Defenseman']",,"('1', '7', '1987')","['1-time World Championship Gold Medal', '1-time World Championship Silver Medal']","Daughter: Morgan Richardson
Brother-in-law: Jeff Chychrun
Nephew: Jakob Chychrun"
Ken Sutton,Canada,D,185,93,L,,,"('5', '98', '1989')","['1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL First All-Star Team', '1-time NHL Stanley Cup Champion']","Daughter: Olivia Sutton
Son: Kenny Sutton
Brother-in-Law: Mike Kennedy
Nephew: Owen Kennedy"
Pavel Trnka,Czechia,D,190,90,L,,,"('5', '106', '1994')",['1-time U18 EJC Bronze Medal'],
Denny Lambert,Canada,LW,180,96,L,['Enforcer'],,,[],
Cale Hulse,Canada,D,191,100,R,,,"('3', '66', '1992')",['1-time AHL Calder Cup Champion'],"Brother: Travis Hulse
Nephew: Kailer Hulse"
Aris Brimanis,USA,D,188,97,R,,,"('4', '86', '1991')",['1-time DEL Champion'],Son: Maksis Brimanis
Juraj Kolnik,Slovakia / Canada,RW,181,90,R,,,"('4', '101', '1999')","['1-time CHL Memorial Cup Champion', '1-time EIHL Champion', '1-time LNAH Champion', '1-time NL Champion', '2-time NL Media All-Star Team', '2-time NL Most Assists', '1-time NL Most Points', '1-time QMJHL All-Rookie Team']","Kolnik is an offensive winger with a great shot. Is a good passer and protects the puck well. Not a speedy skater, though."
Mats Lindgren,Sweden,C,188,91,L,,,"('1', '15', '1993')","['1-time U18 EJC Silver Medal', '2-time U20 WJC Silver Medal', '1-time SHL Rookie of the Year']",Son: Mats Lindgren
Valeri Zelepukin,Russia,LW,183,94,L,,,"('11', '221', '1990')","['1-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time NHL Stanley Cup Champion']","Son: Vasiley Zelepukin
Godson: Alexander Tertyshny"
Mark Lawrence,Canada,RW,190,95,R,,,"('6', '118', '1991')",[],
Shawn Heins,Canada,D,190,97,L,,,,"['1-time AHL First All-Star Team', '1-time DEL Champion', '1-time Spengler Cup Winner']",Son: Caeden Heins
Ian Moran,USA,D,183,92,R,,,"('6', '107', '1990')",[],Son: Luke Moran
Marc Chouinard,Canada,C,194,99,R,,,"('2', '32', '1995')","['1-time U17 WHC Gold Medal', '1-time Spengler Cup Winner']","Father: Jean Chouinard
Uncle: Guy Chouinard, Jacques Chouinard and Pierre Chouinard
Cousin: Éric Chouinard"
Juha Lind,Finland,LW,181,84,L,"['Glue Guy', 'Grinder']",,"('8', '178', '1992')","['2-time World Championship Silver Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time ICEHL Champion', '3-time Liiga Champion', '1-time Liiga Rookie of the Year']","Sons: Paavo Lind, Onni Lind"
Jason Marshall,Canada,D,188,91,R,,,"('1', '9', '1989')",['1-time U20 WJC Gold Medal'],Son: Lucas Marshall
Aki Berg,Finland,D,192,97,L,['Defensive Defenseman'],,"('1', '3', '1995')","['1-time U18 EJC Gold Medal', '3-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time Olympic Bronze Medal', '2-time World Championship Bronze Medal', '1-time Finnish Hockey Hall of Fame', '2-time Liiga Champion']","Berg was considered a top prospect with offensive potential, but never really lived up to the expectations. He turned into a reliable defensive defenseman instead. Berg had great size and was a pretty good open ice hitter during his career, but did not play the body as much he could have. He was a decent skater and had a hard shot, but had limited offensive skills. Returned to hockey as an equipment manager after retiring as a player."
Andy Sutton,Canada,D,198,111,L,['Heavy Hitter'],,,[],
Greg Hawgood,Canada,D,178,92,L,['Two-Way Defenseman'],,"('10', '202', '1986')","['1-time U20 WJC Gold Medal', '1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL First All-Star Team', '1-time AHL Second All-Star Team', '1-time CHL Defenseman of the Year', '1-time U20 WJC All-Star Team', '3-time WHL (West) First All-Star Team', '1-time WHL Champion']",Son: Logan Hawgood
Tim Taylor,Canada,C,186,86,L,,,"('2', '36', '1988')","['1-time AHL First All-Star Team', '1-time AHL Most Points (JB Sollenberger Trophy)', '2-time NHL Stanley Cup Champion']",Brother: Chris Taylor
Tyler Bouck,Canada,LW,183,89,L,,,"('2', '57', '1998')","['1-time U20 WJC Silver Medal', '1-time U20 WJC Bronze Medal', '1-time DEL Champion', '1-time WHL (West) First All-Star Team']",
Ryan VandenBussche,Canada,RW,183,91,R,['Enforcer'],,"('8', '173', '1992')",[],
Ladislav Benysek,Czechia,D,186,88,L,,,"('11', '266', '1994')","['2-time World Championship Gold Medal', '1-time World Championship Bronze Medal', '1-time AHL Calder Cup Champion', '3-time Czech Extraliga Champion', '1-time French Champion', '1-time Italy Champion']",
Steve Kariya,Canada,LW,168,72,R,"['Playmaker', 'Puckhandler', 'Speedster']",,,"['1-time Liiga Most Assists', '1-time Liiga Most Points (Veli-Pekka Ketola Trophy)', '1-time NCAA (Championship) Winner', '1-time NCAA (East) First All-American Team']",Kariya was a diminutive winger who relied heavily on his speed and quickness. He didn't shy away from the high-traffic areas despite his size and was a prolific scorer in Europe and the AHL.
Jim Montgomery,Canada,C,178,83,R,,,,"['1-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time NCAA (Championship) Winner', '2-time NCAA (East) Second All-American Team', '2-time NCAA (Hockey East) Champion']",Son: JP Montgomery
Peter Popovic,Sweden,D,198,105,L,['Defensive Defenseman'],,"('5', '93', '1988')",['1-time World Championship Silver Medal'],
Jassen Cullimore,Canada,D,195,108,L,,,"('2', '29', '1991')","['1-time NHL Stanley Cup Champion', '1-time OHL Champion', '1-time OHL Second All-Star Team']",Skates well for a six-foot-five defenseman. Doesn't take any chances with the puck. Should play a more physical game.
Chris Clark,USA,RW,183,89,R,,,"('3', '77', '1994')",['1-time AHL Calder Cup Champion'],Son: Braiden Clark
Mike Maneluk,Canada,LW,183,87,R,,,,"['1-time World Championship Bronze Medal', '1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '1-time AHL Playoffs MVP (Jack A Butterfield Trophy)', '1-time NL Champion', '1-time NL Media All-Star Team', '1-time NL Most Goals', '2-time Spengler Cup Winner']",
Serge Payer,Canada / USA,C,183,88,L,,,,[],
Peter Bartos,Slovakia,RW/C,184,84,R,,,"('7', '214', '2000')","['1-time World Championship Silver Medal', '5-time Slovakian Extraliga Champion']",Sons: Jan Bartos & Antonin Bartos
John MacLean,Canada,RW,183,91,R,,,"('1', '6', '1983')","['1-time World Championship Silver Medal', '1-time NHL Stanley Cup Champion']","Sons: John Carter MacLean, Kyle MacLean

MacLean scored 413 goals and 429 assists over 18 years with the Devils, Sharks, Rangers, and Stars. He posted 3 straight 40-goal seasons from 1989-91 and won his first Stanley Cup with New Jersey in 1995. The 2x All-Star retired in 2002 and won a second Cup in 2003 as Assistant Coach of the Devils."
Jarkko Ruutu,Finland,LW,185,92,L,"['Agitator', 'Heavy Hitter', 'Physical Forward']",,"('3', '68', '1998')","['3-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time Liiga Champion']",An well known agitator who can also score some points. Plays very physically and checks hard. Dose everything to win. Although he usually gets under the opposite players skin can his own personal show hurt his owns teams game as well. Is shootout expert.
Brendan Witt,Canada,D,188,101,L,,,"('1', '11', '1993')","['1-time U20 WJC Gold Medal', '1-time CHL First All-Star Team', '2-time WHL (West) First All-Star Team', '1-time WHL Top Defenseman (Bill Hunter Trophy)']","A very large and muscular stay-at-home defenseman, Witt was an excellent leader. Loved the physical side of the game and blocking shots.
Was in complete lack of an offensive game. Took too many penalties. Wasn't very mobile. At times put himself out of position looking for big hits."
Bryan Helmer,Canada,D,185,95,R,,,,"['3-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '1-time AHL Hall of Fame', '1-time AHL Second All-Star Team']",A veteran defenseman who likes pinching in from the point and joining the attack. Has good size and plays a solid two-way game. Is a team player and captain material.
Philippe Boucher,Canada,D,191,99,R,,,"('1', '13', '1991')","['1-time CHL Rookie of the Year', '1-time NHL Stanley Cup Champion', '1-time QMJHL Defensive Rookie of the Year (Raymond Lagacé Trophy)', '2-time QMJHL Second All-Star Team']","Known for his booming slap shot and offensive ability, Boucher had to round his defensive game in the minors before making the NHL. A powerplay specialist, he was Sergei Zubov's trigger man from 2005 to 2008.
- Erik K."
Greg Classen,Canada / Germany,C/W,185,86,L,,,,"['1-time AHL Calder Cup Champion', '1-time DEL Champion']","Brother: Bryce Classen
Nephew: Ethan Classen
Cousin: Cris Classen

Classen is a defensive center and a hard worker. Is a quality team player."
Stan Drulia,USA,RW,180,86,R,,,"('11', '214', '1986')","['1-time AHL Second All-Star Team', '1-time ECHL First All-Star Team', '1-time ECHL Most Goals', '1-time ECHL Most Points', '1-time ECHL Most Valuable Player', '1-time OHL First All-Star Team', '1-time OHL Third All-Star Team']",Nephew: Alex Drulia
Jamie Rivers,Canada,D,188,95,L,,,"('3', '63', '1993')","['1-time U20 WJC Gold Medal', '1-time AHL Second All-Star Team', '1-time CHL Second All-Star Team', '1-time OHL First All-Star Team', '1-time OHL Most Assists', '1-time OHL Most Outstanding Defenseman (Max Kaminsky Trophy)', '1-time OHL Second All-Star Team']",Brother: Shawn Rivers | Nephew: Gunner Rivers
Dan LaCouture,USA,LW,190,100,L,,,"('2', '29', '1996')","['1-time U20 WJC Silver Medal', '1-time NCAA (Hockey East) Champion']","A large and strong winger. Has an aggressive style and always works hard. A decent skater. (Matias Strozyk)

Father: Bill LaCouture
Brothers: Bill LaCouture Jr."
Ken Klee,USA,D,185,98,R,,,"('9', '177', '1990')",['1-time AHL Calder Cup Champion'],"Sons: David Klee, Garrett Klee & Mason Klee"
Éric Lacroix,Canada,LW,185,93,L,,,"('7', '136', '1990')",['1-time NCAA (ECAC) Champion'],"Father: Pierre Lacroix
Son: Max Lacroix"
Steve Martins,Canada,C,176,84,L,,,,"['1-time AHL Calder Cup Champion', '1-time NCAA (ECAC) Champion', '1-time NCAA (East) First All-American Team']",Son: Isac Martins
Trent Whitfield,Canada,C,178,91,L,,,"('4', '100', '1996')","['1-time U20 WJC Gold Medal', '1-time ICEHL Champion', '1-time WHL (West) First All-Star Team']",
Stanislav Neckar,Czechia,D,185,96,L,,,"('2', '29', '1994')","['1-time World Championship Gold Medal', '1-time U20 WJC Bronze Medal', '1-time NHL Stanley Cup Champion']","Brother: Zbynek Neckar
Son: Ty Neckar"
Andrei Nazarov,Russia,LW,195,104,R,"['Checking-line Player', 'Enforcer']",,"('1', '10', '1992')",['1-time U18 EJC Bronze Medal'],"The Chelyabinsk native was picked 10th overall by the San Jose Sharks in the 1992 NHL Entry Draft as a power forward. Not soon after, Nazarov moved to North America, which suited his style more than in the skill-dominated Russian league. Nazarov did not become an NHL regular right away and he had to spend a few seasons splitting his time between San Jose and Kansas City. But once Nazarov established himself as an NHL player, his presence was certainly felt all throughout the league. He developed into perhaps the best Russian enforcer the NHL has seen. Never shy to give his opinion, or drop his gloves, he was also no stranger to the penalty box. Nazarov played a pure Canadian game, and the Russians were proud to have someone in the league who did not fit the typical ""Euro-soft"" player stereotype.
In 2004, he returned to Russia where he played for Metallurg Novokuznetsk and Avangard Omsk. On and off-ice incidents, however, forced him back to North America where he skated three more games.
His retirement came shortly after claims from Nazarov that a large number of NHL players use performance-enhancing drugs. Realizing the consequences of his comments, he accepted his fate and retired.

Internationally, he represented Russia in 1998 World championship. After retirement he became succesful coach, both on club and international level. His hot-tempered personality is still present and Nazarov had several conflicts even as a coach."
Joe Murphy,Canada,RW,185,86,L,,,"('1', '1', '1986')","['1-time U20 WJC Silver Medal', '1-time AHL Calder Cup Champion', '1-time NHL Stanley Cup Champion']",
Glen Metropolit,Canada,C,179,90,R,"['Dangler', 'Playmaker', 'Puckhandler']",,,"['1-time DEL Champion', '1-time ECHL Hall of Fame', '1-time NL Champion', '1-time NL Forward of the Year', '1-time NL Media All-Star Team', '1-time NL Most Assists', '2-time NL Most Points']",Metropolit is a speedy center with excellent playmaking ability and vision. Is a hard worker and a solid faceoff man. Has good defensive acumen.
Kevin Haller,Canada,D,188,88,L,,,"('1', '14', '1989')","['1-time U20 WJC Gold Medal', '1-time NHL Stanley Cup Champion', '1-time WHL (East) First All-Star Team']",Daughter: Madison Haller
James Black,Canada / Scotland,C,183,93,L,,,"('5', '94', '1989')","['1-time AHL Calder Cup Champion', '1-time Spengler Cup Winner']",
Ruslan Salei,Belarus,D,188,93,L,['Heavy Hitter'],,"('1', '9', '1996')","['3-time Belarus Champion', '2-time Belarus Player of the Year', '1-time IIHF Hall of Fame']","A primarily defensive defenseman, Salei also had some offensive ability, including a hard slapshot and good passing game. He played a tough game and didn't mind dishing it out in the corners and in front of the net."
Reed Low,Canada,RW,193,100,R,['Enforcer'],,"('7', '177', '1996')",[],
Colin Forbes,Canada,C,191,100,L,,,"('7', '166', '1994')","['1-time AHL Calder Cup Champion', '1-time DEL Champion']",
Francis Bouillon,Canada / USA,D,173,88,L,,,,"['1-time CHL Memorial Cup Champion', '2-time QMJHL Champion', '1-time QMJHL Second All-Star Team', '1-time Spengler Cup Winner']",
Chris McAlpine,USA,D,183,98,R,,,"('7', '137', '1990')","['1-time NCAA (West) Second All-American Team', '1-time NHL Stanley Cup Champion']","Daughter: Lauren Mcalpine
Son: Jake McAlpine"
Todd White,Canada,C,178,88,L,,,,"['1-time CCHL Top Prospect Award', '1-time NCAA (East) First All-American Team', '1-time NCAA (East) Second All-American Team']",A fast-skating center with good passing skills and vision. White always gave 100% and could play wing if needed.
Pierre Dagenais,Canada,LW,193,98,L,,,"('4', '105', '1998')","['1-time AHL Second All-Star Team', '1-time CHL All-Rookie Team', '1-time CHL Third All-Star Team', '1-time FPHL Champion', '1-time FPHL Playoffs MVP', '1-time QMJHL All-Rookie Team', '1-time QMJHL Most Goals', '1-time QMJHL Second All-Star Team']",Son: Maddox Dagenais
Xavier Delisle,Canada,C,180,88,R,,,"('6', '157', '1996')","['1-time CHL Memorial Cup Champion', '1-time QMJHL Champion', '1-time QMJHL Second All-Star Team']",
Pyotr Schastlivy,Russia,C,184,95,L,,,"('4', '101', '1998')","['1-time U20 WJC Gold Medal', '1-time World Championship Bronze Medal', '1-time KHL Gagarin Cup Champion']",Son: Marks Scastlivijs
Steve Kelly,Canada,C,188,91,L,,,"('1', '6', '1995')",['1-time NHL Stanley Cup Champion'],
Sylvain Blouin,Canada,LW,188,98,L,['Enforcer'],,"('4', '104', '1994')",['1-time LNAH Champion'],
Blake Sloan,USA,D,178,91,R,,,,"['1-time World Championship Bronze Medal', '1-time DEL Champion', '3-time NCAA (CCHA) Champion', '1-time NCAA (Championship) Winner', '1-time NHL Stanley Cup Champion']","A former right winger, Sloan was converted to defense for the 2006-07 season.
He is a hard working player with leadership qualities. Skates well and likes to play a tough game despite not being overly large. On the downside, he is somewhat lacking when it comes to making plays."
Shane Hnidy,Canada,D,188,92,R,,,"('7', '173', '1994')",['1-time NHL Stanley Cup Champion'],Son: Zaden Hnidy
Stu Grimson,Canada,LW,196,105,L,['Enforcer'],,"('7', '143', '1985')",[],
Sébastien Bordeleau,Canada / France,C,180,83,R,,,"('3', '73', '1993')","['1-time CHL Third All-Star Team', '1-time NL Champion', '1-time QMJHL All-Rookie Team', '1-time QMJHL Champion', '1-time QMJHL First All-Star Team']","Father: Paulin Bordeleau
Brother : Paulin Bordeleau Jr."
Brad Tapper,Canada,RW,179,83,R,,,,"['1-time AHL Calder Cup Champion', '1-time NCAA (East) Second All-American Team']",Retired in 2009 due to health reasons.
Peter Smrek,Slovakia,D,183,97,L,,,"('3', '85', '1999')","['1-time World Championship Gold Medal', '1-time U20 WJC Bronze Medal', '1-time USHL Clark Cup Champion']","Brother: Michal Smrek

Smrek is a two-way defenseman with a good physical game. Plays with grit and aggression."
Grant Ledyard,Canada,D,188,89,L,,,,"['1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time MJHL Most Valuable Player', '1-time MJHL Top Defenseman']","Sons: Ryall Ledyard, Jacob Ledyard, Taggart Ledyard"
Matt Herr,USA,C,188,93,L,,,"('4', '93', '1994')",['1-time AHL First All-Star Team'],
Gino Odjick,Canada,LW,191,98,L,['Enforcer'],,"('5', '86', '1990')",['2-time QMJHL Champion'],"Odjick, 52, died on January 15, 2023."
Steve Poapst,Canada,D,182,90,L,,,,"['1-time AHL Calder Cup Champion', '1-time ECHL First All-Star Team', '1-time ECHL Hall of Fame', '1-time NCAA (ECAC) Champion']",
Niclas Wallin,Sweden,D,190,100,L,['Defensive Defenseman'],,"('4', '97', '2000')","['1-time NHL Stanley Cup Champion', '1-time SHL Champion']","Wallin was known as a stay-at-home defenseman who limited his mistakes. A big body, he excelled in shorthanded situations, blocking shots."
Shawn Bates,USA,C,183,95,R,,,"('4', '103', '1993')","['1-time NCAA (Championship) Winner', '3-time NCAA (Hockey East) Champion']",A forward with excellent defensive skills. A very good skater.
Arron Asham,Canada,RW/LW,180,95,R,,,"('3', '71', '1996')",[],
Sean Brown,Canada,D,191,98,L,"['Defensive Defenseman', 'Heavy Hitter']",,"('1', '21', '1995')","['1-time ICEHL Champion', '1-time OHL Second All-Star Team']",Son: Rylan Brown
Scott Parker,USA,RW,196,109,R,['Enforcer'],,"('1', '20', '1998')",['1-time NHL Stanley Cup Champion'],
Michel Picard,Canada,LW,180,85,L,,,"('9', '178', '1989')","['2-time AHL Calder Cup Champion', '2-time AHL First All-Star Team', '1-time AHL Hall of Fame', '2-time AHL Second All-Star Team', '1-time LNAH Most Goals', '1-time LNAH Most Points', '1-time LNAH Most Valuable Player', '1-time QMJHL Second All-Star Team']",
Mike Commodore,Canada,D,193,105,R,,,"('2', '42', '1999')","['1-time World Championship Gold Medal', '1-time NCAA (Championship) Winner', '1-time NHL Stanley Cup Champion']",Brother: Matt Commodore
Michal Rozsíval,Czechia,D,185,95,R,,,"('4', '105', '1996')","['1-time World Championship Gold Medal', '1-time CHL Second All-Star Team', '1-time Czech Extraliga Champion', '2-time NHL Stanley Cup Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Top Defenseman (Bill Hunter Trophy)']","Sons: Daniel Rozsival and Dominik Rozsival
Brother: Patrik Rozsival
Nephew: David Rozsíval"
Brad Werenka,Canada,D,185,100,L,,,"('2', '42', '1987')","['1-time Olympic Silver Medal', '1-time AHL Calder Cup Champion', '1-time NCAA (West) First All-American Team', '1-time Olympic All-Star Team']",
Krzysztof Oliwa,Poland / USA,LW,196,115,L,"['Checking-line Player', 'Enforcer']",,"('3', '65', '1993')",['1-time NHL Stanley Cup Champion'],
Marc Bergevin,Canada,D,185,97,L,,,"('3', '59', '1983')","['1-time World Championship Gold Medal', '2-time AHL Calder Cup Champion']",Son : Rhett Bergevin
Todd Simpson,Canada,D,191,99,L,"['Defensive Defenseman', 'Enforcer']",,,['1-time Danish Champion'],"Simpson was a defensive defenseman who played a tough and rough game. He always worked hard and was a real team player. However, he wasn't a great skater. Also, he could take some bad penalties at times."
Johan Witehall,Sweden,LW,184,89,L,,,"('8', '207', '1998')","['1-time AHL Calder Cup Champion', '1-time Spengler Cup Winner']",Son: Viktor Witehall
Branislav Mezei,Slovakia,D,192,104,L,,,"('1', '10', '1999')","['1-time U20 WJC Bronze Medal', '1-time CHL Third All-Star Team', '1-time Continental Cup Champion', '1-time OHL Champion', '1-time OHL First All-Star Team', '2-time Slovakian Extraliga Champion']","Mezei is a big, defensive defenseman with a good physical game. Moves well for his size and is a solid passer, but doesn't offer much on offense."
Chris Joseph,Canada,D,185,97,R,,,"('1', '5', '1987')","['1-time U20 WJC Gold Medal', '1-time Italy Champion', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time WHL (West) Second All-Star Team']","Sons: Jaxon Joseph, Brett Joseph"
Tomas Kloucek,Czechia,D,192,111,L,,,"('5', '131', '1998')","['1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time Slovakian Extraliga Champion']","Passed away, March 16 2025, following a ski accident"
Jason Strudwick,Canada,D,193,102,L,,,"('3', '63', '1994')","['2-time CHL Memorial Cup Champion', '2-time WHL Champion']","Cousins: Jackson Niedermayer, Joshua Niedermayer, Logan Niedermayer, Luke Niedermeyer, Rob Niedermayer & Scott Niedermayer"
Jean-Luc Grand-Pierre,Canada,D,191,96,R,,,"('7', '179', '1995')",[],"Son: Dennyn Grand-Pierre
Cousins: Georges Laraque, Jules-Edy Laraque"
Maxim Galanov,Russia,D,185,93,L,,,"('3', '61', '1993')",['1-time VHL Champion'],
Steve McCarthy,Canada,D,185,95,L,,,"('1', '23', '1999')","['2-time U20 WJC Bronze Medal', '2-time NL Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Champion']","McCarthy defenseman who is very skilled offensively. Is a gifter passer, sees the ice well, and can skate.
Can be involved in a couple of defensive gaffes. Is not a very physical player.
- Erik K."
Sheldon Keefe,Canada,RW,180,84,R,,,"('2', '47', '1999')","['1-time CHL Second All-Star Team', '1-time OHL Champion', '1-time OHL First All-Rookie Team', '1-time OHL Most Assists', '1-time OHL Most Points (Eddie Powers Trophy)', '1-time OHL Rookie of the Year (Emms Family Award)', '1-time OHL Second All-Star Team', '1-time OHL Third All-Star Team']","Son : Wyatt Keefe
Brother : Adam Keefe
Cousin : Jordan Knox"
Reto von Arx,Switzerland,C,180,86,L,,,"('9', '271', '2000')","['6-time NL Champion', '1-time NL Forward of the Year', '1-time NL Media All-Star Team', '3-time NL Most Valuable Player', '4-time Spengler Cup Winner']","Probably one of the best two-way center Switzerland has ever produced. The diminutive Reto Von Arx has very good puck-skills and skating abilities. Reads the plays well, while his strong hockey sense and playmaking gifts lets him make his team-mates better. A leader on the ice and a strong personality off the ice. Reto Von Arx is a clutch player who plays the best in the biggest games."
Ville Peltonen,Finland,LW,181,85,L,"['Leader', 'Playmaker', 'Sniper']",,"('3', '58', '1993')","['1-time World Championship Gold Medal', '1-time Liiga Golden Helmet', '4-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time U18 EJC Bronze Medal', '3-time Olympic Bronze Medal', '3-time World Championship Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time IIHF Hall of Fame', '2-time Liiga All-Star Team', '1-time Liiga Best Player of Regular Season (Lasse Oksanen Award)', '2-time Liiga Champion', '1-time Liiga Rookie of the Year', '1-time NL Champion', '1-time NL Forward of the Year', '2-time NL Media All-Star Team', '1-time NL Most Points', '1-time SHL Most Points', '1-time Spengler Cup Winner', '3-time World Championship All-Star Team']","Scouting report
During his playing career Peltonen was known as a very skilled offensive player. A good combination of speed, technical skills and hockey sense. A high-scoring player, especially at minor league level. Poised and creative. Brought valuable experience to any team and contributed not only offensively, but also in his own end."
Scott Thomas,USA,RW,188,91,R,,,"('3', '56', '1989')",[],
Joey Tetarenko,Canada,RW,188,98,R,,,"('4', '82', '1996')",['1-time CHL Memorial Cup Champion'],"Sons: MacLane Tetarenko, Lochlan Tetarenko"
Kristian Kudroc,Slovakia,D,201,102,R,,,"('1', '28', '1999')","['1-time World Championship Silver Medal', '1-time U18 WJC Bronze Medal', '1-time QMJHL All-Rookie Team']","A giant with great strength and reach. Kudrocs main strength is the defensive game and the play in front of his own goalie. He plays a physical brand of hockey with decent timing in his hits. Has a powerful release that can be used in powerplay situations. Has, however, some problems with his temper and takes too many penalties. Sometimes he overrates his own offensive ability, which causes turn-overs."
Ken Belanger,Canada,LW,193,102,L,,,"('7', '153', '1992')",[],Son: Kenny Belanger Jr.
Mark Smith,Canada,C,178,95,L,,,"('9', '219', '1997')",['1-time WHL Champion'],
Eric Cairns,Canada,D,197,110,L,"['Defensive Defenseman', 'Enforcer', 'Heavy Hitter']",,"('3', '72', '1992')",[],
John Emmons,USA,C,182,83,L,,,"('5', '122', '1993')",[],
Jim McKenzie,Canada,LW,193,104,L,['Enforcer'],,"('4', '73', '1989')",['1-time NHL Stanley Cup Champion'],
Chris McAllister,Canada,D,197,108,L,"['Defensive Defenseman', 'Enforcer']",,"('2', '40', '1995')",[],
Tomas Vlasak,Czechia,LW/RW,179,85,R,,,"('5', '120', '1993')","['1-time U18 EJC Gold Medal', '3-time World Championship Gold Medal', '1-time U18 EJC Bronze Medal', '1-time Czech Extraliga Champion', '1-time Czech Extraliga Most Goals', '1-time Czech Extraliga Most Points', '1-time Liiga All-Star Team', '1-time RSL Champion', '1-time World Championship All-Star Team']",Son: Marek Vlasak
