player_name_ep,player_link_ep,date_of_birth,nation,player_pos,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
David Vyborny,https://www.eliteprospects.com/player/1920/david-vyborny,1/22/1975,Czechia,C,179,83,L,,,"('2', '33', '1993')","['1-time U18 EJC Gold Medal', '5-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time U18 EJC Bronze Medal', '1-time U20 WJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time Czech Extraliga Champion', '1-time Czech Extraliga Most Assists', '1-time Czech Extraliga Most Points', '1-time Czech Hockey Hall of Fame', '1-time Czechoslovakia Extraliga Champion', '1-time IIHF Hall of Fame', '1-time U20 WJC All-Star Team', '1-time World Championship All-Star Team']","Father: Frantisek Vyborny
Brother-in-law: Jaroslav Hlinka
Niece: Nicole Hlinkova"
Jamie Heward,https://www.eliteprospects.com/player/9049/jamie-heward,3/30/1971,Canada,D,188,98,R,,,"('1', '16', '1989')","['2-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL Calder Cup Champion', '2-time AHL First All-Star Team', '2-time Spengler Cup Winner', '1-time WHL (East) First All-Star Team']",Son: Blake Heward Cousin: Ron Snell
Bruce Gardiner,https://www.eliteprospects.com/player/3572/bruce-gardiner,2/11/1972,Canada,C,185,88,R,,,"('6', '131', '1991')",[],Son: Brad Gardiner
Robert Kron,https://www.eliteprospects.com/player/32119/robert-kron,2/27/1967,Czechia,LW,178,83,L,,,"('5', '88', '1985')","['1-time U18 EJC Silver Medal', '2-time U20 WJC Silver Medal', '1-time U18 EJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time U20 WJC Best Forward']",
Alexander Selivanov,https://www.eliteprospects.com/player/17591/alexander-selivanov,3/23/1971,Russia,RW,180,93,L,,,"('6', '140', '1994')",['1-time DEL Most Goals'],"Sons: Niko Selivanov, Rocco Selivanov, Dylan Selivanov-Wahle
Father-in-Law: Phil Esposito
Uncle-in-Law: Tony Esposito"
Petteri Nummelin,https://www.eliteprospects.com/player/1797/petteri-nummelin,11/25/1972,Finland,D,177,88,L,"['Leader', 'Offensive Defenseman', 'PP Specialist']",,"('5', '133', '2000')","['1-time World Championship Gold Medal', '4-time World Championship Silver Medal', '1-time Olympic Silver Medal', '2-time World Championship Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time Liiga Best Defenseman (Pekka Rautakallio Award)', '1-time Liiga Champion', '2-time NL Champion', '1-time NL Defenseman of the Year', '3-time NL Media All-Star Team', '1-time NL Most Assists', '1-time NL Most Points', '1-time NL Most Valuable Player', '5-time World Championship All-Star Team', '2-time World Championship Best Defenseman']","Father: Timo Nummelin
Brother: Kari Nummelin
Brother-in-law: Antti Niemi
Son: Rene Nummelin"
Kevin Dineen,https://www.eliteprospects.com/player/22687/kevin-dineen,10/28/1963,Canada,RW,180,86,R,,,"('3', '56', '1982')","['2-time World Championship Silver Medal', '1-time Canada Cup Champion']","Father : Bill Dineen
Brothers : Gord Dineen | Jerry Dineen | Peter Dineen | Shawn Dineen
Daughter: Hannah Dineen
Son: Will Dineen
Niece : Ashley Dineen

Kevin Dineen totaled 355 goals, 760 points, and 2,229 PIM over 19 years with the Whalers, Flyers, Hurricanes, Senators, and Blue Jackets. The feisty winger was an 8x 20-goal scorer and set a career-high in 1989 with 45 goals and 89 points. He won a Canada Cup and played in 2 All-Star games before retiring in 2003."
Jamie Pushor,https://www.eliteprospects.com/player/11563/jamie-pushor,2/11/1973,Canada,D,190,97,R,,,"('2', '32', '1991')",[],
Mattias Timander,https://www.eliteprospects.com/player/743/mattias-timander,4/16/1974,Sweden,D,188,107,L,['Defensive Defenseman'],,"('9', '208', '1992')","['2-time J18 SM Gold Medal', '2-time J20 SM Gold Medal', '1-time World Championship Gold Medal', '1-time U18 EJC Silver Medal', '1-time U20 WJC Silver Medal', '1-time SHL Champion']","Sons: Elliot Timander, Oliver Timander, Vincent Timander"
Chris Nielsen,https://www.eliteprospects.com/player/29019/chris-nielsen,2/16/1980,Canada,RW,188,92,R,,,"('2', '36', '1998')",[],
Frantisek Kucera,https://www.eliteprospects.com/player/31928/frantisek-kucera,2/3/1968,Czechia,D,188,93,L,,,"('4', '77', '1986')","['1-time Olympic Gold Medal', '3-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '2-time U18 EJC Bronze Medal', '2-time World Championship Bronze Medal', '2-time Czech Extraliga Best Defenseman', '3-time Czech Extraliga Champion', '1-time Czech Extraliga Player of the Year', '1-time World Championship All-Star Team', '2-time World Championship Best Defenseman']","Brother: Vojtech Kucera
Sons: Frank Kucera and Jakub Kucera"
Mike Maneluk,https://www.eliteprospects.com/player/10645/mike-maneluk,10/1/1973,Canada,LW,183,87,R,,,,"['1-time World Championship Bronze Medal', '1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '1-time AHL Playoffs MVP (Jack A Butterfield Trophy)', '1-time NL Champion', '1-time NL Media All-Star Team', '1-time NL Most Goals', '2-time Spengler Cup Winner']",
Jean-Luc Grand-Pierre,https://www.eliteprospects.com/player/5521/jean-luc-grand-pierre,2/2/1977,Canada,D,191,96,R,,,"('7', '179', '1995')",[],"Son: Dennyn Grand-Pierre
Cousins: Georges Laraque, Jules-Edy Laraque"
Ray Whitney,https://www.eliteprospects.com/player/8824/ray-whitney,5/8/1972,Canada,LW/RW,178,82,R,,,"('2', '23', '1991')","['1-time CHL Memorial Cup Champion', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time WHL (West) First All-Star Team', '1-time WHL Champion', '1-time WHL Most Points (Bobby Clarke Trophy)', '1-time WHL Player of the Year (Four Broncos Trophy)']","A rare playmaking winger, Whitney had excellent vision and passing ability. Excelled on the powerplay and in offensive situations. Smallish, he was not overly effective in physical battles, but had great elusiveness."
Jan Caloun,https://www.eliteprospects.com/player/3574/jan-caloun,12/20/1972,Czechia,RW,177,84,R,"['Cerebral Tactician', 'Dangler', 'Playmaker']",,"('4', '75', '1992')","['1-time Olympic Gold Medal', '1-time World Championship Gold Medal', '1-time U18 EJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time AHL Second All-Star Team', '2-time Liiga All-Star Team', '1-time Liiga Best Player of Regular Season (Lasse Oksanen Award)', '1-time Liiga Champion', '2-time Liiga Most Assists', '2-time Liiga Most Points (Veli-Pekka Ketola Trophy)']",
Steve Maltais,https://www.eliteprospects.com/player/32120/steve-maltais,1/25/1969,Canada,LW,188,104,L,,,"('3', '57', '1987')","['1-time AHL Calder Cup Champion', '1-time AHL Most Assists', '1-time AHL Most Points (JB Sollenberger Trophy)', '1-time AHL Second All-Star Team', '1-time OHL Second All-Star Team']",Nephews: Charles-Olivier Villeneuve & Xavier Villeneuve
Rostislav Klesla,https://www.eliteprospects.com/player/8622/rostislav-klesla,3/21/1982,Czechia,D,191,98,L,,,"('1', '4', '2000')","['1-time U20 WJC Gold Medal', '1-time CHL All-Rookie Team', '1-time CHL Top Draft Prospect Award', '1-time NHL All-Rookie Team', '1-time OHL First All-Rookie Team', '1-time OHL First All-Star Team', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Defenseman']","Klesla is a very physical, defensive defenseman. Has solid hockey sense and positional skills.
Doesn't score as many points as he possibly could. Also, he is rather prone to injury."
Radim Bicanek,https://www.eliteprospects.com/player/23859/radim-bicanek,1/18/1975,Czechia,D,186,95,L,,,"('2', '27', '1993')","['1-time U18 EJC Bronze Medal', '1-time U20 WJC Bronze Medal', '1-time AHL Second All-Star Team', '1-time OHL Second All-Rookie Team']",
William Bowler,https://www.eliteprospects.com/player/53069/bill-bowler,9/25/1974,Canada,C,175,82,L,,,,"['1-time DEL Champion', '1-time OHL Most Assists', '1-time OHL Third All-Star Team']",
Krzysztof Oliwa,https://www.eliteprospects.com/player/2660/krzysztof-oliwa,4/12/1973,Poland / USA,LW,196,115,L,"['Checking-line Player', 'Enforcer']",,"('3', '65', '1993')",['1-time NHL Stanley Cup Champion'],
Martin Spanhel,https://www.eliteprospects.com/player/3576/martin-spanhel,7/1/1977,Czechia,LW,189,94,L,,,"('6', '152', '1995')","['1-time World Championship Gold Medal', '1-time Czech Extraliga Champion']",
Blake Sloan,https://www.eliteprospects.com/player/6811/blake-sloan,7/27/1975,USA,D,178,91,R,,,,"['1-time World Championship Bronze Medal', '1-time DEL Champion', '3-time NCAA (CCHA) Champion', '1-time NCAA (Championship) Winner', '1-time NHL Stanley Cup Champion']","A former right winger, Sloan was converted to defense for the 2006-07 season.
He is a hard working player with leadership qualities. Skates well and likes to play a tough game despite not being overly large. On the downside, he is somewhat lacking when it comes to making plays."
Ted Drury,https://www.eliteprospects.com/player/10695/ted-drury,9/13/1971,USA,C,183,86,L,,,"('2', '42', '1989')",['1-time NCAA (East) First All-American Team'],"Daughter: Lilly Drury
Sons: Jack Drury, Owen Drury, Ted Drury & Ryan Drury
Brothers: Chris Drury & Jim Drury
Nephew: Luke Drury"
Sean Selmser,https://www.eliteprospects.com/player/15579/sean-selmser,11/10/1974,Canada / Austria,LW,184,89,L,,,"('7', '182', '1993')",['1-time ICEHL Most Assists'],Son: Nate Selmser
Jody Shelley,https://www.eliteprospects.com/player/8722/jody-shelley,2/7/1976,Canada,LW,193,103,L,['Enforcer'],,,[],Son: Owen Shelley
Michael Gaul,https://www.eliteprospects.com/player/28881/mike-gaul,4/28/1973,Canada,D,185,93,R,,,"('12', '262', '1991')","['1-time AHL All-Rookie Team', '2-time AHL Second All-Star Team', '1-time QMJHL All-Rookie Team']",
Kevin Dahl,https://www.eliteprospects.com/player/42477/kevin-dahl,12/30/1968,Canada,D,180,86,R,,,"('11', '230', '1988')",['1-time Olympic Silver Medal'],
Matt Davidson,https://www.eliteprospects.com/player/9715/matt-davidson,8/9/1977,Canada,RW,190,89,R,,,"('4', '94', '1995')",['1-time HockeyEttan to HockeyAllsvenskan Promotion'],Experienced right shooting and big framed two-way forward. Team player with great importance both on and off the ice. Always works hard with his aggresive style of play. Great in boxplay.
Mathieu Darche,https://www.eliteprospects.com/player/10621/mathieu-darche,11/26/1976,Canada,LW,185,98,L,,,,['1-time AHL Calder Cup Champion'],"Brother: Jean-Philippe Darche (NFL player)
Sons: Samuel Darche and Benjamin Darche"
Mike Sillinger,https://www.eliteprospects.com/player/8881/mike-sillinger,6/29/1971,Canada,C,180,89,R,['Face-Off Specialist'],,"('1', '11', '1989')","['1-time U20 WJC Gold Medal', '1-time AHL Calder Cup Champion', '1-time WHL (East) First All-Star Team']","Sons: Lukas Sillinger, Owen Sillinger, Cole Sillinger"
Grant Marshall,https://www.eliteprospects.com/player/8967/grant-marshall,6/9/1973,Canada,RW,185,91,R,,,"('1', '23', '1992')",['2-time NHL Stanley Cup Champion'],
Brett Harkins,https://www.eliteprospects.com/player/1357/brett-harkins,7/2/1970,USA,C,185,83,L,"['Playmaker', 'Two-Way Forward']",,"('7', '133', '1989')","['1-time Liiga All-Star Team', '1-time Liiga Most Assists']","Brothers: Don Harkins, Todd Harkins
Nephews: Jansen Harkins, Tyler Harkins"
Sean Pronger,https://www.eliteprospects.com/player/26121/sean-pronger,11/30/1972,Canada,C,191,95,L,,,"('3', '51', '1991')",[],"Brother: Chris Pronger
Nephew: Jack Pronger"
Andrej Nedorost,https://www.eliteprospects.com/player/9672/andrej-nedorost,4/30/1980,Slovakia,C/W,182,86,L,,,"('9', '286', '2000')",['1-time Kazakhstan Champion'],
Derrick Walser,https://www.eliteprospects.com/player/10663/derrick-walser,5/12/1978,Canada,D,178,88,L,,,,"['1-time AHL Calder Cup Champion', '1-time CHL Defenseman of the Year', '1-time CHL First All-Star Team', '3-time DEL Champion', '1-time DEL Defenseman of the Year', '1-time QMJHL Defenseman of the Year (Emile Bouchard Trophy)', '2-time QMJHL First All-Star Team', '1-time Spengler Cup Winner']","Walser is an offensive defenseman with very good passing ability. Excels as a powerplay quarterback and has a terrific shot. Lacking in size and defensive play, but is a great skater."
Blake Bellefeuille,https://www.eliteprospects.com/player/14466/blake-bellefeuille,12/27/1977,USA,C,179,95,R,,,,"['1-time U20 WJC Silver Medal', '2-time NCAA (Hockey East) Champion']","Brother: Brian Bellefeuille
Nephew: Austin Bellefeuille"
Brad Moran,https://www.eliteprospects.com/player/11030/brad-moran,3/20/1979,Canada,C,180,84,L,,,"('7', '191', '1998')","['1-time CHL Second All-Star Team', '1-time CHL Third All-Star Team', '1-time Continental Cup Champion', '1-time EIHL Champion', '2-time WHL (East) First All-Star Team', '1-time WHL Champion', '1-time WHL Most Assists', '1-time WHL Most Points (Bobby Clarke Trophy)', '1-time WHL Player of the Year (Four Broncos Trophy)', '1-time WHL Playoffs MVP']","Son: Mason Moran

Moran is a skilled center with fine passing ability. Excels on the powerplay thanks to his playmaking skills. On the downside, he is not very fast or big."
Duvie Westcott,https://www.eliteprospects.com/player/8714/duvie-westcott,10/30/1977,Canada,D,180,87,R,,,,"['1-time Spengler Cup Winner', '1-time USHL Clark Cup Champion']",Westcott is a gritty defenseman with a solid all-around game. Has good passing ability and powerplay skills.
David Ling,https://www.eliteprospects.com/player/13407/david-ling,1/9/1975,Canada,RW/C,175,84,R,,,"('7', '179', '1993')","['1-time ACH Champion', '1-time CHL First All-Star Team', '1-time CHL Player of the Year', '1-time EIHL Champion', '1-time EIHL Most Points', '1-time OHL First All-Star Team', '1-time OHL Most Goals', '1-time OHL Most Outstanding Player (Red Tilson Trophy)', '1-time OHL Second All-Rookie Team']","Brother: Jamie Ling
Sons: Bates Ling, Dylan Ling"
Andrew Cassels,https://www.eliteprospects.com/player/42363/andrew-cassels,7/23/1969,Canada,C,183,84,L,,,"('1', '17', '1987')","['1-time World Championship Silver Medal', '2-time OHL First All-Star Team', '1-time OHL Most Assists', '1-time OHL Most Outstanding Player (Red Tilson Trophy)', '1-time OHL Most Points (Eddie Powers Trophy)', '1-time OHL Rookie of the Year (Emms Family Award)']","Sons: Cole Cassels, Birk Cassels, Cruz Cassels
Nephew: Travis Barron

Cassels was selected 17th overall in 1987 after scoring 92 points with the Ottawa 67's. The following year, he led the OHL with 151 points. He played his first full NHL season in 1991 and set a career-high with 85 points in 1993. Cassels took home World Championship silver in 1996 and retired in 2006 with 204 goals and 528 assists."
Rick Nash,https://www.eliteprospects.com/player/3658/rick-nash,6/16/1984,Canada,LW/RW,193,96,L,['Power Forward'],,"('1', '1', '2002')","['1-time World Championship Gold Medal', '2-time Olympic Gold Medal', '1-time U20 WJC Silver Medal', '2-time World Championship Silver Medal', '1-time CHL All-Rookie Team', '1-time NHL All-Rookie Team', '1-time NHL Foundation Player Award', '1-time NHL Most Goals (Maurice Richard Trophy)', '1-time NL Champion', '1-time NL Forward of the Year', '1-time OHL First All-Rookie Team', '1-time OHL Rookie of the Year (Emms Family Award)', '1-time OHL Third All-Star Team', '1-time Spengler Cup Winner', '3-time World Championship All-Star Team', '1-time World Championship Most Valuable Player']","A big body, Nash is also blessed with tremendous offensive instincts. He loves to shoot and has the shot to score a lot of goals. Owns great acceleration and skates really well. Also has the puck control to beat defensemen one on one regularly."
Lasse Pirjeta,https://www.eliteprospects.com/player/1798/lasse-pirjeta,4/4/1974,Finland,C,191,103,L,['Power Forward'],,"('5', '133', '2002')",['1-time Liiga Champion'],Cousin: Mikko Haapakoski
Luke Richardson,https://www.eliteprospects.com/player/8933/luke-richardson,3/26/1969,Canada,D,191,98,L,"['Defensive Defenseman', 'Physical Defenseman']",,"('1', '7', '1987')","['1-time World Championship Gold Medal', '1-time World Championship Silver Medal']","Daughter: Morgan Richardson
Brother-in-law: Jeff Chychrun
Nephew: Jakob Chychrun"
Hannes Hyvonen,https://www.eliteprospects.com/player/2093/hannes-hyvonen,8/29/1975,Finland,RW,187,92,R,"['Heavy Hitter', 'Heavy Shooter', 'Power Forward']",,"('9', '257', '1999')","['1-time World Championship Bronze Medal', '1-time KHL Gagarin Cup Champion', '1-time Liiga All-Star Team', '3-time Liiga Champion', '1-time Spengler Cup Winner']","Hyvönen's release is tremendously hard and pretty accurate as well. Furthermore he is a rather strong skater and enjoys playing an aggressive game. On the downside Hyvönen has a hot temper and takes silly penalties at times. He has also had consistency problems, not being able to give his best every night."
Tomi Kallio,https://www.eliteprospects.com/player/2092/tomi-kallio,1/27/1977,Finland,RW,184,86,L,"['Offensive Forward', 'Sniper', 'Speedster']",,"('4', '81', '1995')","['1-time U18 EJC Gold Medal', '3-time World Championship Silver Medal', '2-time World Championship Bronze Medal', '1-time Liiga All-Star Team', '2-time Liiga Champion', '1-time Liiga Most Assists', '3-time SHL Champion', '1-time SHL Most Goals']",A very skilled forward. Very good stickhandling and understanding of the game. Very creative. A good finisher.
Darren Van Impe,https://www.eliteprospects.com/player/22093/darren-van-impe,5/18/1973,Canada,D,185,88,L,,,"('7', '170', '1993')",['2-time WHL (East) First All-Star Team'],Sons: Benjamin Van Impe & Eric Van Impe
Scott Lachance,https://www.eliteprospects.com/player/21483/scott-lachance,10/22/1972,USA,D,185,96,L,,,"('1', '4', '1991')","['1-time U20 WJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time NCAA (Hockey East) Champion', '1-time U20 WJC All-Star Team']","Sons: Jake LaChance, Shane Lachance"
Darrel Scoville,https://www.eliteprospects.com/player/13391/darrel-scoville,10/13/1975,Canada,D,190,96,L,,,,"['1-time AHL Calder Cup Champion', '1-time ICEHL Champion']",Brother: Scott Scoville
Kent McDonell,https://www.eliteprospects.com/player/8745/kent-mcdonell,3/1/1979,Canada,RW,188,91,R,,,"('6', '181', '1999')","['1-time U20 WJC Silver Medal', '1-time CCHL Champion', '1-time OHL Champion']",A tough and hardworking player. McDonell can be used as center as well as be put on the wing. He has decent size and strength and is a good leader. McDonell plays an aggressive style of hockey and drops the gloves if needed.
Paul Manning,https://www.eliteprospects.com/player/13516/paul-manning,4/15/1979,Canada,D,193,93,L,,,"('3', '62', '1998')",[],
Nikolay Zherdev,https://www.eliteprospects.com/player/8620/nikolai-zherdev,11/5/1984,Russia / Ukraine,LW/RW,186,88,R,,,"('1', '4', '2003')","['1-time U20 WJC Gold Medal', '2-time World Championship Gold Medal', '1-time U18 WJC Silver Medal', '1-time U18 WJC All-Star Team', '1-time U18 WJC Best Forward']",
Todd Marchant,https://www.eliteprospects.com/player/8532/todd-marchant,8/12/1973,USA,C,178,82,L,['Speedster'],,"('7', '164', '1993')","['1-time NCAA (ECAC) Champion', '1-time NHL Stanley Cup Champion']","Brother: Terry Marchant
Daughters: Ashley Marchant & Lillian Marchant
Son: Tim Marchant"
Trevor Letowski,https://www.eliteprospects.com/player/8777/trevor-letowski,4/5/1977,Canada,RW,178,82,R,,,"('7', '174', '1996')",['1-time U20 WJC Gold Medal'],
Manny Malhotra,https://www.eliteprospects.com/player/5528/manny-malhotra,5/18/1980,Canada,C,188,94,L,"['Face-Off Specialist', 'PK Specialist']",,"('1', '7', '1998')","['1-time U20 WJC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time OHL Champion', '1-time Spengler Cup Winner']","Son: Caleb Malhotra

A center with excellent faceoff skills. Very skilled defensively. Good skating and leadership skills. Limited offensively."
Darryl Sydor,https://www.eliteprospects.com/player/8899/darryl-sydor,5/13/1972,Canada / USA,D,185,96,L,,,"('1', '7', '1990')","['1-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time CHL Memorial Cup Champion', '1-time CHL Second All-Star Team', '2-time NHL Stanley Cup Champion', '3-time WHL (West) First All-Star Team', '1-time WHL Champion', '1-time WHL Top Defenseman (Bill Hunter Trophy)']","Sydor was a defenseman mainly known for his offensive ability, but evolved into a two-way presence as he got older. He was good push rusher and skater, and also had a good breakout pass from the backend.
- Erik K."
Alexander Svitov,https://www.eliteprospects.com/player/3662/alexander-svitov,11/3/1982,Russia,C,190,114,L,"['Defensive Center', 'Heavy Hitter', 'Physical Forward']",,"('1', '3', '2001')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time U18 WJC Silver Medal', '2-time KHL Gagarin Cup Champion']",A large two-way center with a good technique and understanding of the game. Plays aggressively and likes physicality. A good penalty killer.
Mark Hartigan,https://www.eliteprospects.com/player/10234/mark-hartigan,10/15/1977,Canada,C,181,88,L,,,,"['1-time NCAA (West) First All-American Team', '2-time NHL Stanley Cup Champion', '2-time SJHL Champion', '1-time SJHL Most Points', '1-time SJHL Most Valuable Player', '1-time SJHL Player of the Year']",
Tim Jackman,https://www.eliteprospects.com/player/10322/tim-jackman,11/14/1981,USA,RW,188,102,R,,,"('2', '38', '2001')",[],
Todd Rohloff,https://www.eliteprospects.com/player/69478/todd-rohloff,1/16/1974,USA,D,191,97,L,,,,[],
Donald MacLean,https://www.eliteprospects.com/player/8953/don-maclean,1/14/1977,Canada,LW,191,97,L,"['Offensive Forward', 'Playmaker']",,"('2', '33', '1995')","['1-time AHL First All-Star Team', '1-time AHL Most Points (JB Sollenberger Trophy)', '1-time AHL Most Valuable Player (Les Cunningham Award)', '1-time CHL Memorial Cup Champion', '1-time ICEHL Champion', '1-time QMJHL Champion']",Son: Phenwick MacLean
Brian Holzinger,https://www.eliteprospects.com/player/25615/brian-holzinger,10/10/1972,USA,C,180,86,R,,,"('6', '124', '1991')","['1-time AHL Calder Cup Champion', '1-time NCAA (West) First All-American Team', '1-time NCAA Top Collegiate Player (Hobey Baker Award)']",Brother: Brad Holzinger
Dan Fritsche,https://www.eliteprospects.com/player/9434/dan-fritsche,7/13/1985,USA / Switzerland,C/W,188,90,R,['Speedster'],,"('2', '46', '2003')","['1-time U20 WJC Gold Medal', '1-time CHL Memorial Cup Champion', '1-time NL Champion', '1-time OHL Champion']","Fritsche skates very well and has good two-way instincts. Plays a gritty game and owns decent hands, but isn't a natural on offense. Can play center and wing equally well.
- Erik K. Piri, EP (2010)

Brother: Tom Fritsche
Uncle: John Fritsche
Cousin: John Fritsche Jr."
Jeremy Reich,https://www.eliteprospects.com/player/10988/jeremy-reich,2/11/1979,Canada,LW,185,89,L,,,"('2', '39', '1997')",[],Reich was a gritty winger and a hard worker. He had good speed and liked to play a physical game. A strong leader.
Zenith Komarniski,https://www.eliteprospects.com/player/29022/zenith-komarniski,8/13/1978,Canada,D,184,92,L,,,"('3', '75', '1996')","['1-time CHL Third All-Star Team', '1-time WHL (West) First All-Star Team']",Son: Miller Komarniski
Joe Motzko,https://www.eliteprospects.com/player/10670/joe-motzko,3/14/1980,USA,RW,185,89,R,,,,"['1-time AHL Calder Cup Champion', '1-time NHL Stanley Cup Champion']",
Mike Pandolfo,https://www.eliteprospects.com/player/14421/mike-pandolfo,9/15/1979,USA,LW,191,102,L,,,"('3', '77', '1998')",['1-time ECHL Second All-Star Team'],"Brother: Jay Pandolfo, Cousin: Mark Pandolfo"
Sergei Fedorov,https://www.eliteprospects.com/player/8619/sergei-fedorov,12/13/1969,Russia,C,185,93,L,"['Cerebral Tactician', 'Speedster', 'Two-Way Center']",,"('4', '74', '1989')","['1-time U20 WJC Gold Medal', '3-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '1-time World Championship Silver Medal', '1-time Olympic Bronze Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL First All-Star Team', '1-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '1-time NHL Most Valuable Player (Hart Trophy)', '3-time NHL Stanley Cup Champion', '2-time NHL Top Defensive Forward (Frank J. Selke Trophy)']","Brother: Fedor Fedorov

Fedorov was the 1st Russian player in NHL history to score 1,000 points, totaling 1,179 over his 18-year career. The 6x All-Star helped Detroit win 3 cups in the span of 6 years from 1997-2002. Sergei also won 2 Selke Trophies, a Ted Lindsay, and a Hart Trophy."
Jan Hrdina,https://www.eliteprospects.com/player/8623/jan-hrdina,2/5/1976,Czechia,C/W,180,89,R,,,"('5', '128', '1995')","['1-time U18 EJC Bronze Medal', '1-time SHL Champion']","Hrdina was a skilled two-way center. He had great hockey sense and fine playmaking ability. He also an absolute ace on faceoffs.
- Erik K."
Jason Chimera,https://www.eliteprospects.com/player/8762/jason-chimera,5/2/1979,Canada,LW/RW,190,98,L,['Speedster'],,"('5', '121', '1997')","['1-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '1-time World Championship Silver Medal', '1-time AHL First All-Star Team']",Son: Cale Chimera
Jaroslav Balastik,https://www.eliteprospects.com/player/8618/jaroslav-balastik,11/28/1979,Czechia,LW/RW,191,95,L,,,"('6', '184', '2002')","['1-time World Championship Silver Medal', '2-time Czech Extraliga Champion', '3-time Czech Extraliga Most Goals']","Balastik had good size and quite a bit of experience. He was a reliable goal scorer on all levels of play. Balastik owned a high-calibre wrist shots, which he often used. He read the game well, which furthermore assisted his scoring ability. Feet were pretty quick, but the knock on him was his play without the puck and his passing game."
Ron Hainsey,https://www.eliteprospects.com/player/9037/ron-hainsey,3/24/1981,USA,D,190,93,L,,,"('1', '13', '2000')","['1-time AHL All-Rookie Team', '1-time NCAA (East) Second All-American Team', '1-time NHL Stanley Cup Champion']",
Radoslav Suchy,https://www.eliteprospects.com/player/8621/radoslav-suchy,4/7/1976,Slovakia,D,188,93,L,,,,"['1-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time Champions Hockey League Champion', '1-time NL Champion', '1-time QMJHL All-Rookie Team', '1-time QMJHL Second All-Star Team', '1-time Slovakian Extraliga All-Star Team']","Son: Markus Suchy

Suchý is a big defensive defenseman. Plays a calm, simple game, and has a good reach. Can play on the penalty kill with aplomb."
Mike Rupp,https://www.eliteprospects.com/player/8922/mike-rupp,1/13/1980,USA,W/C,195,105,L,['Enforcer'],,"('3', '76', '2000')",['1-time NHL Stanley Cup Champion'],
Geoff Platt,https://www.eliteprospects.com/player/9469/geoff-platt,7/10/1985,Canada / Belarus,W/C,176,82,L,,,,"['1-time U18 WJC Gold Medal', '1-time Belarus Player of the Year', '1-time Champions Hockey League Champion', '1-time Liiga Champion', '1-time Spengler Cup Winner']",
Gilbert Brule,https://www.eliteprospects.com/player/10235/gilbert-brule,1/1/1987,Canada,C/RW,178,84,R,,,"('1', '6', '2005')","['1-time U17 WHC Silver Medal', '1-time Olympic Bronze Medal', '1-time CHL All-Rookie Team', '1-time CHL Second All-Star Team', '1-time WHL (West) First All-Star Team', '1-time WHL Champion', '1-time WHL Playoffs MVP', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']","Brule is an energetic and gritty forward. He is a fast skater and likes to play a physical game. Also has some playmaking skills and scoring ability. His lack of size in combination with the style he plays has brought along some injury woes for the former top prospect.
- Erik K."
Cale Hulse,https://www.eliteprospects.com/player/9059/cale-hulse,11/10/1973,Canada,D,191,100,R,,,"('3', '66', '1992')",['1-time AHL Calder Cup Champion'],"Brother: Travis Hulse
Nephew: Kailer Hulse"
Peter Sarno,https://www.eliteprospects.com/player/10826/peter-sarno,7/26/1979,Canada,C,180,84,L,['Offensive Forward'],,"('6', '141', '1997')","['1-time OHL First All-Rookie Team', '2-time OHL Most Assists', '2-time OHL Most Points (Eddie Powers Trophy)', '1-time OHL Rookie of the Year (Emms Family Award)', '2-time OHL Third All-Star Team']",
Cam Severson,https://www.eliteprospects.com/player/15734/cam-severson,8/15/1978,Canada,LW,188,104,L,,,"('8', '192', '1997')",['1-time ECHL Kelly Cup Champion'],
Ole-Kristian Tollefsen,https://www.eliteprospects.com/player/3214/ole-kristian-tollefsen,3/29/1984,Norway,D,187,95,L,"['Defensive Defenseman', 'Heavy Hitter', 'Leader']",,"('3', '65', '2002')",[],"Son: Philip Tollefsen
Second cousin: Carl Didrik Tollefsen"
